channel,offset_khz,db_rel_median
36,4.24385,0.660125
36,4.26769,0.677313
36,4.29153,0.674708
36,4.31538,0.671954
36,4.33922,0.674664
36,4.36306,0.678556
36,4.3869,0.679664
36,4.41074,0.664163
36,4.43459,0.656082
36,4.45843,0.655341
36,4.48227,0.662891
36,4.50611,0.652087
36,4.52995,0.652583
36,4.55379,0.651106
36,4.57764,0.65032
36,4.60148,0.646966
36,4.62532,0.650001
36,4.64916,0.646095
36,4.673,0.64544
36,4.69685,0.654432
36,4.72069,0.639595
36,4.74453,0.647527
36,4.76837,0.646279
36,4.79221,0.654936
36,4.81606,0.646392
36,4.8399,0.644207
36,4.86374,0.647884
36,4.88758,0.653667
36,4.91142,0.649383
36,4.93526,0.644381
36,4.95911,0.654652
36,4.98295,0.650997
36,5.00679,0.643265
36,5.03063,0.640616
36,5.05447,0.644335
36,5.07832,0.645954
36,5.10216,0.640727
36,5.126,0.642196
36,5.14984,0.635284
36,5.17368,0.647937
36,5.19753,0.642122
36,5.22137,0.646031
36,5.24521,0.643413
36,5.26905,0.644804
36,5.29289,0.643734
36,5.31673,0.635489
36,5.34058,0.645665
36,5.36442,0.641238
36,5.38826,0.638725
36,5.4121,0.637193
36,5.43594,0.636306
36,5.45979,0.642412
36,5.48363,0.648737
36,5.50747,0.644645
36,5.53131,0.643043
36,5.55515,0.64197
36,5.57899,0.642525
36,5.60284,0.6438
36,5.62668,0.645516
36,5.65052,0.638834
36,5.67436,0.637535
36,5.6982,0.645647
36,5.72205,0.637838
36,5.74589,0.638198
36,5.76973,0.640764
36,5.79357,0.64518
36,5.81741,0.645818
36,5.84126,0.64251
36,5.8651,0.642458
36,5.88894,0.646342
36,5.91278,0.644628
36,5.93662,0.643164
36,5.96046,0.646547
36,5.98431,0.64274
36,6.00815,0.641083
36,6.03199,0.650027
36,6.05583,0.639801
36,6.07967,0.648164
36,6.10352,0.643157
36,6.12736,0.641405
36,6.1512,0.647694
36,6.17504,0.64506
36,6.19888,0.643111
36,6.22272,0.646833
36,6.24657,0.652913
36,6.27041,0.642719
36,6.29425,0.647692
36,6.31809,0.634515
36,6.34193,0.649186
36,6.36578,0.644499
36,6.38962,0.64634
36,6.41346,0.647476
36,6.4373,0.645135
36,6.46114,0.646758
36,6.48499,0.649423
36,6.50883,0.64535
36,6.53267,0.640043
36,6.55651,0.648142
36,6.58035,0.643141
36,6.60419,0.644767
36,6.62804,0.646634
36,6.65188,0.64575
36,6.67572,0.646196
36,6.69956,0.640329
36,6.7234,0.645635
36,6.74725,0.651359
36,6.77109,0.644231
36,6.79493,0.650864
36,6.81877,0.648308
36,6.84261,0.65226
36,6.86646,0.653902
36,6.8903,0.643093
36,6.91414,0.644276
36,6.93798,0.643776
36,6.96182,0.648555
36,6.98566,0.651406
36,7.00951,0.645367
36,7.03335,0.641209
36,7.05719,0.6429
36,7.08103,0.649093
36,7.10487,0.638782
36,7.12872,0.643124
36,7.15256,0.651632
36,7.1764,0.640256
36,7.20024,0.645287
36,7.22408,0.640044
36,7.24792,0.646563
36,7.27177,0.646136
36,7.29561,0.642988
36,7.31945,0.641065
36,7.34329,0.642443
36,7.36713,0.647691
36,7.39098,0.646001
36,7.41482,0.649944
36,7.43866,0.642059
36,7.4625,0.648682
36,7.48634,0.645264
36,7.51019,0.649866
36,7.53403,0.648951
36,7.55787,0.642285
36,7.58171,0.644579
36,7.60555,0.648912
36,7.62939,0.646354
36,7.65324,0.642468
36,7.67708,0.645366
36,7.70092,0.651323
36,7.72476,0.645903
36,7.7486,0.64388
36,7.77245,0.648787
36,7.79629,0.644145
36,7.82013,0.643237
36,7.84397,0.647393
36,7.86781,0.649694
36,7.89165,0.649392
36,7.9155,0.648748
