requested_snr_shelf_db,frequency_offset_hz,channel_gain_db,channel_phase_deg,requested_composite_atsc_snr_db,measured_truth_snr_shelf_db_mean,measured_truth_composite_atsc_snr_db_mean,fstat_raw_mean,fstat_level_db_mean,pnr_bin_db_mean,estimated_snr_shelf_db_mean,estimated_snr_shelf_db_std,snr_error_db_mean,snr_error_db_std,cpu_float_fstat_raw_mean,cpu_float_estimated_snr_shelf_db_mean,cpu_float_estimated_snr_shelf_db_std,cpu_float_snr_error_db_mean,cpu_float_snr_error_db_std,cpu_float_gpu_snr_diff_db_mean,trials,positive_excess_detection_rate,positive_excess_detection_rate_wilson95_lo,positive_excess_detection_rate_wilson95_hi,threshold_detection_rate,threshold_detection_rate_wilson95_lo,threshold_detection_rate_wilson95_hi,num_feeds,num_input_streams,cpu_gpu_abs_diff_max
-29.0,1000.0,0.0,0.0,-28.689427395061156,-29.000083885956766,-28.68951128101793,1.120424954209149,0.48718955093423716,-9.706303980347974,-31.342315833781583,2.775292126652503,-2.342217536295573,2.775107006066237,1.1192299646412074,-31.442566168666335,2.9671296405622054,-2.4424827762900083,2.967031268466537,-0.049012865703278334,1000,0.971,0.9586616416633058,0.9797335518433012,0.668,0.6382178440412442,0.6964963651076094,4,4,0.0
-30.0,-1000.0,0.0,0.0,-29.689427395061156,-30.000083892365886,-29.68951128742704,1.0946651273932155,0.3864827302382228,-10.931355949489744,-32.56736780292336,3.5990760728328786,-2.567306664913644,3.5989861160979673,1.0937438869040048,-32.48641395183612,3.2749655485966658,-2.486354294598144,3.274891701993815,8.614549674057574e-05,1000,0.943,0.9268629323405141,0.9557465596412841,0.515,0.4840260675164033,0.5458591297290302,4,4,0.0
-30.0,0.0,0.0,0.0,-29.689427395061156,-30.000083892000564,-29.689511287061723,1.1392543308337835,0.5602574936377432,-9.02546480532052,-30.661476658754133,2.4798428806715256,-0.6613939208528056,2.4797859315339528,1.138796074130373,-30.706013533211603,2.5951116549491267,-0.705937907085512,2.5951160046959854,-0.02987050883783736,1000,0.989,0.9804106042992137,0.9938468259019134,0.796,0.769913574238833,0.8198209847377185,4,4,0.0
-30.0,1000.0,0.0,0.0,-29.689427395061156,-30.000083891706176,-29.68951128676733,1.096241591422323,0.3924444058237085,-10.806197834413316,-32.442209687846926,3.411041378005507,-2.4421315990166246,3.410901592496878,1.0947749170407508,-32.42739523062271,3.248348354635748,-2.427318670136607,3.2482127442259254,-0.0575158060523545,1000,0.946,0.9302078451539475,0.9583786862769372,0.515,0.4840260675164033,0.5458591297290302,4,4,0.0
-31.0,-1000.0,0.0,0.0,-30.689427395061156,-31.00008388427835,-30.689511279339502,1.0756843582687725,0.3105131017410681,-11.745798344677679,-33.38181019811129,3.8171631699463964,-2.3817806033907316,3.8171287523120316,1.0744016263079943,-33.37504248121191,3.6632364361296372,-2.3749832845511425,3.6631238856483783,-0.04907866275653999,1000,0.895,0.8744646434108284,0.9125122173855832,0.376,0.34650662606266847,0.4064424100417492,4,4,0.0
-31.0,0.0,0.0,0.0,-30.689427395061156,-31.00008388497508,-30.689511280036236,1.111042339221511,0.45129057148359886,-10.02463830922527,-31.660650162658882,2.6935173434168322,-0.6605514166195934,2.6933569913660955,1.1101825914373753,-31.708243421410334,2.740234490632559,-0.708152304605666,2.7401073200250865,-0.044822134015879346,1000,0.967,0.9540187355329184,0.9764070720415732,0.629,0.5986190226548378,0.6583936736558891,4,4,0.0
-31.0,1000.0,0.0,0.0,-30.689427395061156,-31.000083884859535,-30.68951127992069,1.0769664239007366,0.31543416005705355,-11.703908620691232,-33.339920474124845,3.8893447337593994,-2.3398677160762062,3.889295112649338,1.075307103055551,-33.42129181209567,3.8935225005366134,-2.4212246599900356,3.893388734905259,-0.1309387985821368,1000,0.903,0.8830847944509657,0.9198308382096769,0.388,0.3582811184771855,0.41857607542357883,4,4,0.0
-32.0,-1000.0,0.0,0.0,-31.689427395061156,-32.00008389119298,-31.689511286254135,1.0605587117716682,0.24902802744366356,-12.327980302853442,-33.96399215628705,3.698526437948543,-1.9639423207575657,3.698396852214209,1.0590178285215606,-34.19396052419969,4.132597681898361,-2.193899109157601,4.13242455527591,-0.1503651782377253,1000,0.844,0.8201985055513945,0.8651686846105435,0.296,0.26853097433797923,0.32503034312412726,4,4,2.220446049250313e-16
-32.0,0.0,0.0,0.0,-31.689427395061156,-32.0000838913771,-31.68951128643826,1.088623822087156,0.36269677894710983,-11.115706029574843,-32.75171788300845,3.3669897285763533,-0.7516340172456735,3.3668530290028604,1.0874432154910652,-32.81180988835004,3.5813098792166875,-0.8117248319353216,3.581190571026938,-0.09589151788648123,1000,0.939,0.9224198811757163,0.9522202248739662,0.471,0.44023244570116365,0.5019895062909986,4,4,2.220446049250313e-16
-32.0,1000.0,0.0,0.0,-31.689427395061156,-32.00008389128533,-31.689511286346484,1.061695303412175,0.2534260886314851,-12.38672252551095,-34.02273437894456,3.987901901447011,-2.022701091070656,3.9879585995621887,1.0598142048724084,-34.19272578753529,4.163765405879677,-2.1926626405166707,4.1636219444637845,-0.20251452817438922,1000,0.851,0.8275879764800763,0.871725639063064,0.295,0.26756241055666713,0.32400656042241044,4,4,0.0
